account,search_term,class,cost,clicks,conversions,all_conversions,cpa,confidence,date_range,note
AU,philippines virtual assistant,employer_intent_keep,6334.37,101.0,15.78,31.94,401.42,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
AU,hire virtual assistant,employer_intent_keep,1557.83,44.0,7.48,10.48,208.27,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
AU,virtual assistant hire,employer_intent_keep,1204.11,31.0,6.0,9.0,200.68,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
AU,virtual assistants philippines,employer_intent_keep,2397.41,40.0,3.0,8.0,799.14,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
AU,social media manager philippines,employer_intent_keep,1295.31,37.0,3.0,6.0,431.77,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
AU,hire a virtual assistant,employer_intent_keep,1086.07,31.0,2.92,6.85,371.94,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
AU,hire virtual assistant from philippines,employer_intent_keep,582.64,11.0,2.0,2.0,291.32,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
AU,offshore virtual assistants,employer_intent_keep,565.77,25.0,2.0,8.0,282.88,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
AU,hire virtual assistant philippines,employer_intent_keep,423.25,9.0,2.0,4.0,211.62,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
AU,recruitment agency philippines to australia,employer_intent_keep,115.08,4.0,2.0,3.0,57.54,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
AU,filipino social media manager,employer_intent_keep,84.09,2.0,2.0,3.0,42.05,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
AU,outsource virtual assistant philippines,employer_intent_keep,79.24,1.0,2.0,3.0,39.62,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
AU,outsource customer service,employer_intent_keep,48.11,2.0,2.0,2.0,24.05,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
AU,freelance virtual assistant philippines,employer_intent_keep,14.95,1.0,2.0,3.87,7.47,uncertain,2024-08-01 to 2026-08-04,Editor ST ~2024-08-01 to 2026-08-04. Ads conversions ≠ employer leads. Cluster already targeted in VC_* Exact.
