account,campaign,status,channel,bidding,cohort,cost,clicks,impressions,reported_conversions,all_conversions,reported_cpa,confidence,trustworthy_employer_leads,date_range,note
US,[Original] NA - Search - Virtual Assistant - Core,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,original,7420.86,475,8458,18.0,62.04,412.27,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
US,Remarketing Campaign,PAUSED,DISPLAY,MAXIMIZE_CONVERSIONS,legacy_other,5906.26,9877,519431,202.0,259.0,29.24,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
US,[Original] NA - Search - Virtual Assistant - Exact,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,original,4901.26,184,3140,7.0,21.0,700.18,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
US,[Original] NA - Search - Virtual Assistant - Philippines,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,original,4040.43,173,2737,5.0,17.0,808.09,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
US,US | PMax,PAUSED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,pmax,3727.78,16946,412628,670.0,692.0,5.56,duplicate-non-lead,unverified,2024-08-01 to 2026-08-12,All conversions ≫ conversions. Catch-all / PMax. Not trustworthy employer leads.
US,NA - Search - Virtual Assistant - Exact - A/B Test,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,original,3558.42,157,2252,12.0,15.0,296.54,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
US,NA - Search - Virtual Assistant - Core - A/B Test,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,original,1570.53,141,3032,27.0,27.0,58.17,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
US,PM_US_RSA_Generic_Premium & Quality Intent,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,pm_rsa,1390.59,40,578,1.0,6.0,1390.59,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
US,VC_US_S_CORE,ENABLED,SEARCH,TARGET_SPEND,stage1,539.61,234,1782,0.0,0.0,,probable employer,unverified,2024-08-01 to 2026-08-12,"0 Ads conversions in the 2y window (campaign is new). Sales ops 8–10 Aug: 4 enquiries, 2 booked calls, 1 job seeker, 1 not-a-fit. Not a historical nugget."
US,VC_US_S_ROLES,ENABLED,SEARCH,TARGET_SPEND,stage1,357.64,109,1430,0.0,1.0,,probable employer,unverified,2024-08-01 to 2026-08-12,"0 Ads conversions in the 2y window (campaign is new). Sales ops 8–10 Aug: 4 enquiries, 2 booked calls, 1 job seeker, 1 not-a-fit. Not a historical nugget."
US,Remarketing: Display,PAUSED,DISPLAY,MAXIMIZE_CONVERSIONS,legacy_other,354.24,85,17804,0.0,0.0,,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
US,Search (Exact) Specific Jobs  Trial 982,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,legacy_other,0.0,0,0,0.0,0.0,,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
US,US | Search Campaign TCPA vs. MClicks,ENABLED,SEARCH,TARGET_SPEND,legacy_other,0.0,0,0,0.0,0.0,,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,[Original] APAC - Performance Max,PAUSED,PERFORMANCE_MAX,MAXIMIZE_CONVERSIONS,pmax,144536.6,37993,3269699,715.0,1495.38,202.15,duplicate-non-lead,unverified,2024-08-01 to 2026-08-12,All conversions ≫ conversions. Catch-all / PMax. Not trustworthy employer leads.
AU,LK - Generic VA,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,lk_agency,140358.81,4892,53702,447.79,991.04,313.45,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,PM_AU_DSA_Generic_Catch-all,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,dsa,48737.14,1606,27574,21.5,246.71,2266.84,duplicate-non-lead,unverified,2024-08-01 to 2026-08-12,All conversions ≫ conversions. Catch-all / PMax. Not trustworthy employer leads.
AU,PM_AU_RSA_Generic_Role Specific,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,pm_rsa,18444.72,284,2480,4.0,51.38,4611.18,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,LK - AUS | Search | Competitor,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,competitor,16917.97,896,27117,75.0,133.31,225.57,uncertain,unverified,2024-08-01 to 2026-08-12,Competitor conquest. Do not revive.
AU,LK - Specific Services,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,lk_agency,15220.14,343,3019,21.0,36.0,724.77,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,PM_AU_RSA_Generic_Core category,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,pm_rsa,14962.21,165,2245,4.0,51.0,3740.55,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,PM_AU_RSA_Generic_Pain-Point Intent,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,pm_rsa,13970.23,196,2449,2.67,47.83,5238.84,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,PM_AU_RSA_Brand,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,brand_deferred,8476.97,564,1990,18.83,181.05,450.1,uncertain,unverified,2024-08-01 to 2026-08-12,Brand classified only. High all-conv vs conv. Not a Stage 1 recovery path.
AU,[Original] APAC - Search - Virtual Assistant - Core,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,original,8140.78,349,4629,9.0,9.0,904.53,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,[Original] APAC - Search - Brand,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,brand_deferred,8110.62,296,1519,35.5,77.43,228.47,uncertain,unverified,2024-08-01 to 2026-08-12,Brand classified only. High all-conv vs conv. Not a Stage 1 recovery path.
AU,DSA,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,dsa,7311.85,739,12048,51.37,136.37,142.33,duplicate-non-lead,unverified,2024-08-01 to 2026-08-12,All conversions ≫ conversions. Catch-all / PMax. Not trustworthy employer leads.
AU,[Original] APAC - Search - Virtual Assistant - Philippines,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,original,4615.05,126,1599,2.0,3.0,2307.53,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,LK - Executive/Personal Assistant,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,lk_agency,2076.3,369,3518,4.0,7.0,519.08,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,PM_AU_RSA_Competitors,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,competitor,1734.14,46,570,0.0,3.0,,uncertain,unverified,2024-08-01 to 2026-08-12,Competitor conquest. Do not revive.
AU,PM_AU_RSA_Generic_Premium & Quality Intent,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,pm_rsa,1343.15,8,133,0.0,0.0,,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,APAC - Search - Virtual Assistant - Exact,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,original,951.51,60,807,0.0,0.0,,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,PM_AU_RSA_Generic_Pain-Point Intent_Custom LP,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,pm_rsa,478.91,99,814,0.0,7.92,,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,PM_AU_DSA_Generic_Catch-all_Custom LP,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,dsa,415.18,2,29,0.0,0.0,,duplicate-non-lead,unverified,2024-08-01 to 2026-08-12,All conversions ≫ conversions. Catch-all / PMax. Not trustworthy employer leads.
AU,VC_AU_S_CORE,ENABLED,SEARCH,TARGET_SPEND,stage1,309.59,84,558,0.0,0.0,,uncertain,unverified,2024-08-01 to 2026-08-12,New Stage 1. No ops enquiry counts yet. Ads conversions 0. Do not read empty Conversions as failure of the market.
AU,PM_AU_RSA_Generic_Premium & Quality Intent_Custom LP,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,pm_rsa,215.57,67,528,0.0,3.38,,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,VC_AU_S_ROLES,ENABLED,SEARCH,TARGET_SPEND,stage1,206.3,53,490,0.0,0.0,,uncertain,unverified,2024-08-01 to 2026-08-12,New Stage 1. No ops enquiry counts yet. Ads conversions 0. Do not read empty Conversions as failure of the market.
AU,LK - Remarketing Campaign,PAUSED,DISPLAY,MAXIMIZE_CONVERSIONS,lk_agency,176.17,21,12976,1.0,9.0,176.17,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,PM_AU_RSA_Generic_Role Specific_Custom LP,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,pm_rsa,160.97,91,547,0.0,7.14,,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,PM_AU_RSA_Generic_Core category_Custom LP,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,pm_rsa,118.96,24,193,0.0,1.38,,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,PM_AU_RSA_Brand_Custom LP,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,brand_deferred,97.45,212,642,0.0,9.14,,uncertain,unverified,2024-08-01 to 2026-08-12,Brand classified only. High all-conv vs conv. Not a Stage 1 recovery path.
AU,PM_AU_RSA_Competitors_Custom LP,PAUSED,SEARCH,MAXIMIZE_CONVERSIONS,competitor,45.9,13,231,0.0,0.0,,uncertain,unverified,2024-08-01 to 2026-08-12,Competitor conquest. Do not revive.
AU,Remarketing: Display,PAUSED,DISPLAY,MAXIMIZE_CONVERSIONS,legacy_other,33.53,5,1983,0.0,0.0,,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
AU,AU | Search Campaign | Imp Share,ENABLED,SEARCH,TARGET_IMPRESSION_SHARE,legacy_other,0.0,0,0,0.0,0.0,,uncertain,unverified,2024-08-01 to 2026-08-12,"Reported conversions are mostly WP consult forms, phone, Calendly, or Zoho uploads — not proven job orders. See conversion table."
