Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[https www virtualstaff ph],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[virtualstaff365],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[virtual staff 365],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[virtualstafffinder],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,"""virtualstaff""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[20four7va],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[pearl talent],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[getmagic],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[get magic],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[time etc],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_CORE,,,,,,,,,,,,,,,[remote coworker],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[va workers ph],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[va worker ph],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[va workers philippines],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[virtual assistant work],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[virtual assistants work],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[i need a va careers],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[i need a va career],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[virtualstaff ph],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[virtual staff ph],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[virtualstaffph],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[https www virtualstaff ph],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[virtualstaff365],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[virtual staff 365],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[virtualstafffinder],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,"""virtualstaff""",Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[20four7va],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[pearl talent],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[getmagic],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[get magic],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[time etc],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,,,,[remote coworker],Campaign negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_S_🚫_Sniper · Exact/Phrase sniper (bots · competitors · job-seeker ST waste); VC_US_S_CORE+ROLES only; NOT Stage1 Broad blob; NOT account shared / PM_* mega list; do not Broad-neg bare workers
