Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Administration_EA_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/administrative-support,admin,hire,Hire an Executive Assistant,For Employers Needing Admin,Filipino Admin Who Stays,Book a Free Strategy Call,Fill Out the Hiring Form,Call Our US Sales Team,You Meet Them First,Get Your Calendar Back,On Your US Hours,We Handle Payroll,Not a Freelance Assistant,Follow-Ups Actually Done,Ready in Days,Tell Us What You Need,Reduce Admin Overload,Employers: hire a dedicated Filipino executive assistant for your admin load.,Book a strategy call or fill the form. You meet them. We handle payroll.,Not a freelance assistant. Someone who learns your rhythm and stays.,Call US sales if you want to talk the role before you hire.,,,,,,,,Employer RSA 2026-08-27; Paused; no abbrev; angle=admin_employer; form/book/call CTAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Administration_EA_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/administrative-support,admin,help,Inbox Eating Your Week?,Hire Admin Help That Stays,Book a Consultation,Built for US Employers,You Interview. You Pick.,Dedicated Filipino Admin,On Your Business Hours,Calendar Stops Owning You,Not a Gig Marketplace,We Recruit. You Decide.,Someone Who Learns You,Employers Hire Admin Here,Clear Admin Off Your Desk,Ready When You Are,Talk Through the Role,Inbox and calendar eating your week. Hire dedicated Filipino admin help.,Book a consultation. You interview. Nobody starts until you say yes.,One admin who stays - not marketplace freelancers bouncing between gigs.,Fill out the form or call our US sales team. Employers only.,,,,,,,,Employer RSA 2026-08-27; Paused; no abbrev; angle=admin_employer_book; form/book/call CTAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Appointment_Setter_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/sales,sales,appointments,Hire an Appointment Setter,For Employers Filling Calls,Filipino Setter Who Stays,Book a Free Strategy Call,Fill Out the Hiring Form,Call Our US Sales Team,You Meet Them First,On Your US Hours,We Handle Payroll,Not Freelance Dialers,Ready in Days,Tell Us Your Sales Flow,Get More Meetings Booked,Dedicated Setter Seat,Employers Hire Setters Here,US employers: hire a dedicated Filipino appointment setter for your pipeline.,Book a strategy call or fill the form. You meet them. We handle payroll.,Not freelance dialers. One setter on your hours who owns the calendar.,Call US sales to talk volume and tools before you hire.,,,,,,,,Employer RSA 2026-08-27; Paused; no abbrev; angle=appt_employer; form/book/call CTAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Appointment_Setter_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/sales,meetings,hire,Calendars Too Empty?,Hire Setter Help That Stays,Book a Consultation,Built for US Sales Teams,You Interview. You Hire.,Dedicated Filipino Setter,On Your Business Hours,Not a Rotating Dial Desk,We Recruit. You Decide.,Someone Who Owns Outreach,Ready When You Are,Tell Us Your Ideal Client,Real Continuity on Sales,Skip Freelance Dial Chaos,Talk Through the Role,Calendars too empty. Hire a dedicated Filipino appointment setter who stays.,Book a consultation. You interview. Nobody starts until you say yes.,One person on your outreach - not a rotating freelance dial desk.,Or fill out the form. Or call our US sales team first.,,,,,,,,Employer RSA 2026-08-27; Paused; no abbrev; angle=appt_employer_book; form/book/call CTAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Customer_Service_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/customer-service,support,hire,Hire Customer Support Help,For Employers With Queues,Filipino Support Who Stays,Book a Free Strategy Call,Fill Out the Hiring Form,Call Our US Sales Team,You Meet Them First,On Your US Hours,We Handle Payroll,Not Rotating Agents,Chat and Email Covered,Ready in Days,Get Queues Under Control,Real People on Your Brand,Tell Us Your Support Needs,Employers: hire dedicated Filipino customer support on your business hours.,Book a strategy call or fill the form. You meet them. We handle payroll.,Chat and email covered by someone who stays - not rotating agents.,Call US sales to talk channels and volume before you hire.,,,,,,,,Employer RSA 2026-08-27; Paused; no abbrev; angle=support_employer; form/book/call CTAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Social_Media_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/social-media,social,hire,Hire Social Media Help,For Employers Behind on Social,Filipino Social Teammate,Book a Free Strategy Call,Fill Out the Hiring Form,Call Our US Sales Team,You Meet Them First,On Your US Hours,We Handle Payroll,Not Freelance Posters,Keep Your Brand Voice,Ready in Days,Get Posting Done Daily,Someone Who Owns the Feed,Tell Us What You Need,Employers: hire a dedicated Filipino teammate for your social channels.,Book a strategy call or fill the form. You meet them. We handle payroll.,Keep your brand voice. Not freelancers who post and vanish.,Call US sales if you want to talk channels before you hire.,,,,,,,,Employer RSA 2026-08-27; Paused; no abbrev; angle=social_employer; form/book/call CTAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Bookkeeping_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/bookkeeping,books,hire,Hire a Bookkeeper,For Employers Behind on Books,Filipino Books Teammate,Book a Free Strategy Call,Fill Out the Hiring Form,Call Our US Sales Team,You Meet Them First,Same Person Every Week,We Handle Payroll,Not Freelance Book Tasks,On Your Close Calendar,Ready in Days,Get Reconciliation Done,Someone Who Owns the Books,Tell Us Your Tools,Employers: hire a dedicated Filipino bookkeeper who stays week after week.,Book a strategy call or fill the form. You meet them. We handle payroll.,Same person every week - not freelance bookkeeping task bundles.,Call US sales to talk tools and close timing before you hire.,,,,,,,,Employer RSA 2026-08-27; Paused; no abbrev; angle=books_employer; form/book/call CTAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Recruitment_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/recruitment,recruit,hire,Hire Recruitment Help,For Employers Filling Roles,Filipino Recruiter Who Stays,Book a Free Strategy Call,Fill Out the Hiring Form,Call Our US Sales Team,You Meet Them First,On Your US Hours,We Handle Payroll,Not Freelance Recruiters,Ready in Days,Tell Us Your Open Roles,Get Pipelines Moving,Dedicated Recruiting Seat,Employers Hire Recruiters,US employers: hire a dedicated Filipino recruiter to keep your pipeline moving.,Book a strategy call or fill the form. You meet them. We handle payroll.,Not freelance recruiters bouncing between clients. One seat you keep.,Call US sales to talk volume and tools before you hire.,,,,,,,,Employer RSA 2026-08-27; Paused; no abbrev; angle=recruit_employer; form/book/call CTAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Sales_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/sales,sales,hire,Hire Sales Support Help,For Employers Growing Sales,Filipino Sales Teammate,Book a Free Strategy Call,Fill Out the Hiring Form,Call Our US Sales Team,You Meet Them First,On Your US Hours,We Handle Payroll,Not Freelance Sales Help,Ready in Days,Tell Us Your Sales Stack,Keep Follow-Ups Moving,Dedicated Sales Seat,Employers Hire Sales Help,Employers: hire dedicated Filipino sales support on your business hours.,Book a strategy call or fill the form. You meet them. We handle payroll.,Follow-ups and pipeline work that sticks - not freelance sales gigs.,Call US sales to map the role before anyone starts.,,,,,,,,Employer RSA 2026-08-27; Paused; no abbrev; angle=sales_employer; form/book/call CTAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Digital_Marketing_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/digital-marketing,marketing,hire,Hire Marketing Help,For Employers Behind on Ads,Filipino Marketing Teammate,Book a Free Strategy Call,Fill Out the Hiring Form,Call Our US Sales Team,You Meet Them First,On Your US Hours,We Handle Payroll,Not Freelance Marketers,Ready in Days,Tell Us Your Channels,Keep Campaigns Moving,Dedicated Marketing Seat,Employers Hire Marketers,Employers: hire a dedicated Filipino marketing teammate for your channels.,Book a strategy call or fill the form. You meet them. We handle payroll.,Campaign help that stays - not freelance marketers who vanish mid-sprint.,Call US sales to talk channels and tools before you hire.,,,,,,,,Employer RSA 2026-08-27; Paused; no abbrev; angle=marketing_employer; form/book/call CTAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Human_Resources_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/hr,people,hire,Hire People Ops Help,For Employers Adding People,Filipino People Teammate,Book a Free Strategy Call,Fill Out the Hiring Form,Call Our US Sales Team,You Meet Them First,On Your US Hours,We Handle Payroll,Not Freelance People Help,Ready in Days,Tell Us Your People Needs,Keep Hiring Moving,Dedicated People Seat,Employers Hire People Help,Employers: hire dedicated Filipino people-ops help on your business hours.,Book a strategy call or fill the form. You meet them. We handle payroll.,Hiring and people work that sticks - not freelance task hoppers.,Call US sales to talk the role before anyone starts.,,,,,,,,Employer RSA 2026-08-27; Paused; no abbrev; angle=people_employer; form/book/call CTAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Accounting_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/accounting,accounting,hire,Hire Accounting Support,For Employers at Month-End,Filipino Accounting Help,Book a Free Strategy Call,Fill Out the Hiring Form,Call Our US Sales Team,You Meet Them First,On Your US Hours,We Handle Payroll,Not Freelance Accounting,Ready in Days,Tell Us Your Close Needs,Keep Month-End Moving,Dedicated Accounting Seat,Employers Hire Accounting,Employers: hire dedicated Filipino accounting support on your close calendar.,Book a strategy call or fill the form. You meet them. We handle payroll.,Extra capacity for transactions and reporting prep - not licensed advice.,Call US sales to talk tools and timing before you hire.,,,,,,,,Employer RSA 2026-08-27; Paused; no abbrev; angle=accounting_employer; form/book/call CTAs
