Account,Campaign,Keyword,Match type,Comment
573-539-1940,VC_AU_S_CORE,linkedin jobs,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,onlinejobs,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,onlinejobs.ph,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,onlinejobs ph,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,onlinejobsph,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,online jobs ph,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,online jobs philippines,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,ph jobs online,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,virtual assistant jobs,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,virtual assistant job,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,virtual assistant careers,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,virtual assistant salary,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,virtual assistant philippines salary,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,va philippines salary,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,filipino virtual assistant salary,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,apply as virtual assistant,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,va jobs,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,va job,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,va salary,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,va philippines jobs,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,how much do virtual assistants make,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,bookkeeper philippines salary,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,work from home,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,wfh,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,work from home receptionist,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,work from home start today,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,online work from home,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,remote work from home,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,workathome,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,what is,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,what is a virtual assistant,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,how to become,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,how to become a virtual assistant,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,how to make money,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,how to get a job,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,how to start,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,tutorial,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,course,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,courses,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,training,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,certification,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,certificate,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,template,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,examples,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,example,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,definition,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,meaning,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,diy,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,for beginners,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,skills required,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,bruntwork reviews,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,brunt work reviews,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,remote coworker reviews,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,onlinejobs ph reviews,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,onlinejobs ph pricing,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,myoutdesk reviews,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,athena assistant pricing,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,athena ea reviews,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,virtualstaff ph reviews,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,online ph,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,onlineph,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,wing assistant,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,hello rache,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,hellorache,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,hello rache virtual assistant,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,virtual world assistants,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,virtual staff finder,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,doer virtual assistant,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,evirtualassistants,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,virtuestaff,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,the va hub,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,pineapple virtual assistant hub,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,free,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,free virtual assistant,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,torrent,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,reddit,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,youtube,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,pdf,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,near me,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,upwork,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,upwork virtual assistant,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,fiverr,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,freelancer.com,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,freelancer,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,wishup,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,athena,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,boldly,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,myoutdesk,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,zirtual,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,bruntwork,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,spanish,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,español,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,espanol,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,bilingual spanish,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,asistente virtual,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,asistentes virtuales,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,asistente virtual bilingue,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,asistente virtual bilingüe,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,trabajo asistente virtual,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,trabajos de asistente virtual,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,trabajo de asistente virtual,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,asistente virtual en español,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,asistente virtual trabajo,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,virtual assistant colombia,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,virtual assistant in colombia,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,argentina virtual assistant,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,latam virtual assistant,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,mexico virtual assistant,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,virtual assistant mexico,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,medical,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,nurse,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,nursing,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,doctor,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,physician,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,healthcare staffing,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,medical staffing,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,software developer,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,web developer,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,web developers,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,programmer,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,programming,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,coding,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,software engineer,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,it staffing,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,tech staffing,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,technology staffing,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,graphic designer,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,web design,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,consumer,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,personal assistant job,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,for students,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,school,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,homework,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,us based virtual assistant,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_CORE,diploma in digital marketing,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_ROLES,job,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_ROLES,jobs,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_ROLES,salary,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
573-539-1940,VC_AU_S_ROLES,salaries,Broad,"VC-only curated Stage1 campaign neg; NOT account shared / PM_* mega list; MMC import only (Keywords, Negative)"
