Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Negative,Comment
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Admin_City_Test,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/administrative-support,hire,local,{LOCATION(City):Dedicated VA},Your Week Is Full,Dedicated Filipino VA,On Your US Hours,You Interview. You Pick.,We Handle Payroll,Free Admin Consult,Admin VA ~$8 an Hour,Inbox Stops Eating You,Talk to a Specialist,They Learn Your Rhythm,Hire Without Payroll Drag,Not a Freelance VA,Nobody Starts Till You Say,Clear the Admin Work,Your week is full. A dedicated Filipino teammate on your hours clears it.,Free consult. We recruit. You interview. We handle payroll and paperwork.,Typical admin VA ~$8/hr. City-aware hire path — same employer admin LP.,Talk to a specialist. No obligation. You pick who joins.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Accounting_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/accounting,accounting,hire,Month-End Piling Up?,Dedicated Accounting Seat,On Your Finance Hours,You Interview Finalists,We Handle Payroll,Free Accounting Consult,Recurring Books Support,Not Freelance Accounting,You Pick Who Joins,Talk Accounting Hire,We Recruit. You Decide.,PH Accounting Support,Month-End Help From PH,Capacity for Month-End,{KeyWord:Accounting Support},Recurring accounting support stacking up? Add a dedicated Filipino seat.,Free consult. We shortlist. You interview before anyone starts.,"Extra capacity for transactions, schedules, and reporting prep — not licensed advice.",We handle payroll after you hire. You keep hire authority.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Accounting_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/accounting,outsource,acct,Outsource Accounting PH,Dedicated Finance Seat,On Your Close Calendar,You Interview Then Hire,Payroll Handled for You,Free Outsource Consult,Reporting Prep Support,Not Rotating Freelancers,Filipino Accounting Ops,Talk Offshore Finance,We Find Them. You Pick.,PH Accounting Capacity,Outsource Recurring Work,Keep Month-End Moving,{KeyWord:Outsource Accounting},Outsource recurring accounting support to a dedicated Filipino teammate.,Free consult. We shortlist. You interview. We handle payroll after you hire.,"Help with transactions, schedules, and reporting prep — not licensed advice.",Dedicated seat continuity. You keep hire control before anyone starts.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Bookkeeping_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/bookkeeping,books,hire,Invoices Stacking Up?,Dedicated PH Bookkeeper,On Your Books Hours,You Interview Bookkeepers,We Handle Payroll,Free Books Consult,Reconciliations Covered,Not Freelance Books,You Pick Your Bookkeeper,Talk Bookkeeping Hire,We Recruit. You Decide.,Filipino Bookkeeper,Day-to-Day Books Owner,Hire Books Capacity,{KeyWord:Filipino Bookkeeper},Invoices and reconciliations waiting on you? Hire a dedicated Filipino bookkeeper.,Free consult. We recruit. You interview. We handle payroll after you hire.,A dedicated books seat owns day-to-day support — not a freelance marketplace.,Your finance owner spends less time catching up. You pick who joins.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Bookkeeping_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/bookkeeping,outsource,books,Outsource Bookkeeping PH,Dedicated Books Seat,On Your Finance Hours,You Interview Then Hire,Payroll? We Handle It,Free Bookkeeping Consult,Invoices Stop Waiting,Not Rotating Bookkeepers,Filipino Books Support,Talk Offshore Books,We Find. You Choose.,PH Bookkeeping Ops,Outsource Routine Books,Your Finance Owner Breathes,{KeyWord:Outsource Bookkeeping},Outsource day-to-day bookkeeping to a dedicated Filipino teammate.,Free consult. We shortlist. You interview. We handle payroll after you hire.,"Invoices, records, and reconciliations stop stacking on your desk.","Dedicated books seat — continuity, not rotating freelance help.",,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Customer_Service_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/customer-service,support,hire,Customers Waiting Too Long,Dedicated CS Teammate,On Your Support Hours,You Interview Support,We Handle Payroll,Free CS Hire Consult,Queue Stops Building,Not Freelance Support,You Pick Who Answers,Talk CS Hire,Filipino Support Seat,Brand Sounds Looked After,Hire Support Capacity,We Recruit. You Decide.,{KeyWord:Hire Support Staff},Customer questions sitting too long? Add a dedicated Filipino support seat.,Free consult. We shortlist. You interview before anyone joins your team.,"Dedicated support on your hours — inquiries, tickets, and status updates.",We handle payroll after you hire. More consistent customer communication.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Customer_Service_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/customer-service,outsource,cs,Outsource Support to PH,Dedicated CS Seat,On Your Customer Hours,You Interview Then Hire,Payroll Handled for You,Free Support Consult,Tickets Stop Piling Up,Not Rotating CS Gigs,Filipino Support Team,Talk Offshore Support,We Find Them. You Pick.,PH Customer Service,Outsource the Queue,Coverage Without Chaos,{KeyWord:Outsource Support},Outsource customer service to a dedicated Filipino teammate on your hours.,Free consult. We recruit. You interview. We handle payroll after you hire.,"Inquiries, tickets, and status updates stop sitting unanswered.",Dedicated support seat — not rotating freelance gigs. You pick who joins.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Human_Resources_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/hr,hr,hire,People Admin Stacking Up,Dedicated HR Support,On Your HR Hours,You Interview HR Staff,We Handle Payroll,Free HR Hire Consult,Onboarding Stops Stalling,Not Freelance HR Help,You Pick Your HR Seat,Talk HR Support Hire,Filipino HR Teammate,Managers Get Time Back,Hire HR Capacity,We Recruit. You Decide.,{KeyWord:Filipino HR},People admin and onboarding stacking up? Hire dedicated Filipino HR support.,Free consult. We shortlist. You interview before anyone joins — businesses only.,"Records, checklists, and interview scheduling on your hours. We handle payroll.",Managers stop being the default ops desk. You pick who joins.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Human_Resources_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/hr,outsource,hr,Outsource HR Admin PH,Dedicated HR Seat,On Your People Hours,You Interview Then Hire,Payroll? We Handle It,Free HR Consult,Records and Checklists,Not Rotating HR Gigs,Filipino HR Ops,Talk Offshore HR,We Find. You Choose.,PH HR Administration,Outsource People Admin,Leaders Run the Business,{KeyWord:Outsource HR},Outsource HR administration to a dedicated Filipino teammate.,Free consult. We recruit. You interview. We handle payroll after you hire.,"Onboarding checklists, records, and scheduling stop defaulting to managers.",Dedicated HR support seat — businesses only. You keep hire control.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Recruitment_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/recruitment,recruit,hire,Hiring Pipeline Slowing,Dedicated Recruiting VA,On Your TA Hours,You Interview TA Staff,We Handle Payroll,Free Recruiting Consult,Screens Stop Stalling,Not a Job Board Hire,You Pick Your TA Seat,Talk Recruiting Hire,Filipino TA Teammate,Managers Just Decide,Hire Recruiting Support,We Recruit. You Decide.,{KeyWord:TA Support},Sourcing and interview scheduling slowing your pipeline? Hire recruiting support.,Free consult. We shortlist Filipino TA help. You interview before anyone joins.,Dedicated recruiting seat on your hours. We handle payroll after you hire.,Hiring managers spend time deciding — not chasing calendars. Businesses only.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Recruitment_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/recruitment,outsource,ta,Outsource Recruiting PH,Dedicated TA Seat,On Your Hiring Hours,You Interview Then Hire,Payroll Handled for You,Free TA Consult,Calendar Chasing Stops,Not Freelance Recruiting,Filipino TA Support,Talk Offshore TA,We Find Them. You Pick.,PH Recruiting Ops,Outsource Sourcing Work,Pipeline Hygiene Covered,{KeyWord:Outsource Recruiting},"Outsource sourcing, screens, and interview coordination to a dedicated TA seat.",Free consult. We shortlist. You interview. We handle payroll after you hire.,Your hiring managers spend time deciding — not chasing resumes and calendars.,Staffing partner for businesses hiring recruiting support — not a job board.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Sales_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/sales,sales,hire,Follow-Ups Keep Slipping,Dedicated Sales Support,On Your Sales Hours,You Interview Setters,We Handle Payroll,Free Sales Consult,Pipeline Basics Covered,Not Freelance Sales Gigs,You Pick Your Setter,Talk Sales Hire,Filipino Sales Teammate,Sellers Talk to Buyers,Hire Sales Capacity,We Recruit. You Decide.,{KeyWord:Sales Support},"Prospect research, CRM hygiene, and follow-ups slipping? Hire dedicated help.",Free consult. We shortlist Filipino sales support. You interview before they join.,Dedicated setter or sales-support seat on your hours. We handle payroll.,Sellers spend more time talking to buyers. Staffing — not a job board.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Sales_Outsource_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/sales,outsource,sales,Outsource Sales Support,Dedicated Setter Seat,On Your Pipeline Hours,You Interview Then Hire,Payroll? We Handle It,Free Sales Consult,CRM Stops Getting Messy,Not Rotating Freelancers,Filipino Sales Ops,Talk Offshore Sales,We Find Them. You Pick.,PH Sales Support,Outsource Follow-Ups,Protect the Pipeline,{KeyWord:Outsource Sales},Outsource appointment setting and sales support to a dedicated Filipino seat.,Free consult. We recruit. You interview. We handle payroll after you hire.,"Research, CRM hygiene, and follow-ups stop slipping while closers stay buried.",Sellers talk to buyers. You pick who joins. Staffing partner — not a job board.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
496-715-1855,Ad,VC_US_S_ROLES,Search,,,,,Google Search,,,Presence,,,Appointment_Setter_Hire_PH,,,,,,Paused,Responsive search ad,https://www.virtualcoworker.app/us/sales,sales,setter,Calendar Still Empty?,Dedicated Filipino Setter,On Your Sales Hours,You Interview Your Setter,We Handle Payroll,Free Setter Consult,Booked Conversations,Not a WFH Job Ad,You Pick Who Sets,Talk Setter Staffing,They Watch the Pipeline,Hire Without US Overhead,Appointment Setting PH,We Recruit. You Decide.,{KeyWord:Appointment Setting},Need an appointment setter without another US full-time hire? Dedicated Filipino seat.,Free consult. We shortlist. You interview before anyone joins your sales team.,On your hours. We handle payroll. You pick who books the conversations.,For employers hiring setters — not candidates looking for WFH jobs.,,,,,,,,Emotional RSA add 2026-08-09; Paused; Campaign Status blank (live-US-safe); same Final URL as existing AG RSAs
