Account,Row Type,Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Location options,Tracking template,Final URL suffix,Ad Group,Ad Group Status,Maximum CPC bid limit,Keyword,Criterion Type,Keyword Status,Ad Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Negative,Labels,Comment
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,hire executive assistant,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,hire executive assistant,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,outsourced executive assistant,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,outsourced executive assistant,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,executive assistant philippines,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,executive assistant philippines,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,dedicated executive assistant,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,dedicated executive assistant,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,remote executive assistant service,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,remote executive assistant service,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,executive assistant job,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,executive assistant salary,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,ea course,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Ad,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us?utm_source=google&utm_medium=cpc&utm_campaign=vc_us_roles&utm_content=executive_assistant_direct&utm_term={keyword}&matchtype={matchtype}&campaignid={campaignid}&adgroupid={adgroupid}&creative={creative}&lp_version=us-main-control,us,hire,Hire an Executive Assistant,Philippines Executive Support,Dedicated EA for Your Company,Remote Executive Assistant,Outsourced EA for Leaders,Build Your EA Seat Fast,Hire Reliable EA Support,Staff Your Leadership Ops,Interview EA Finalists,Tell Us What You Need,Executive Support On Demand,Fill Your EA Role Today,,,,Hire a dedicated executive assistant for your company. You interview the shortlist.,"Philippines EA talent for calendar, inbox, and follow-through on your hours.",Outsourced executive support without the overhead of a local full hire.,We recruit and screen. You choose who joins your leadership workflow.,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,RSA angle=direct; no DKI; lp=us-main-control
496-715-1855,Ad,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us?utm_source=google&utm_medium=cpc&utm_campaign=vc_us_roles&utm_content=executive_assistant_relief&utm_term={keyword}&matchtype={matchtype}&campaignid={campaignid}&adgroupid={adgroupid}&creative={creative}&lp_version=us-main-control,us,relief,Give Your Calendar Back,Get Inbox Off Your Plate,Stop Losing Days to Admin,Protect Time for Real Work,End the Follow-Up Chase,Keep Meetings Running Clean,Hand Off Routine EA Work,Lead Without Admin Drag,Clear the Ops Bottleneck,Make Room for Decisions,"Less Scramble, More Focus",Relief for Busy Founders,,,,"Calendar, inbox, and follow-ups owned by one dedicated seat on your hours.",Stop losing mornings to admin. Get executive support your team can trust.,You keep the decisions. They keep the details moving for your business.,Tell us the workload. We recruit. You interview before anyone starts.,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,RSA angle=relief; no DKI; lp=us-main-control
496-715-1855,Ad,VC_US_S_ROLES,,,,,,,,,,,,Executive_Assistant,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us?utm_source=google&utm_medium=cpc&utm_campaign=vc_us_roles&utm_content=executive_assistant_trust&utm_term={keyword}&matchtype={matchtype}&campaignid={campaignid}&adgroupid={adgroupid}&creative={creative}&lp_version=us-main-control,us,trust,From $7/Hour Staffing,Vetted Philippines Talent,Talent Working Your Hours,We Recruit and Screen,Support for Growing Cos,Lower the Cost of Hiring,Build Team Without Overhead,No Recruitment Fees,You Interview Finalists,Staffing Partner Since 2011,Payroll and HR Included,Clear Hiring Process,,,,From $7/hour dedicated staff. We recruit and vet EA candidates for your role.,Talent matched to your hours. You interview. Nobody starts without your yes.,"We stay on the account for payroll, HR, and coverage after you hire.",Built for US operators who need reliable executive support without bloat.,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,RSA angle=trust; no DKI; lp=us-main-control
496-715-1855,Ad group,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,Enabled,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,New exact/phrase exploration AG → /us main control
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,virtual administrative assistant,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,virtual administrative assistant,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,hire virtual administrative assistant,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,hire virtual administrative assistant,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,administrative assistant outsourcing,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,administrative assistant outsourcing,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,offshore administrative assistant,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,offshore administrative assistant,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,administrative assistant philippines,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,administrative assistant philippines,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,remote administrative assistant service,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,remote administrative assistant service,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,administrative assistant job,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,admin assistant salary,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,administrative assistant resume,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Ad,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us?utm_source=google&utm_medium=cpc&utm_campaign=vc_us_roles&utm_content=admin_assistant_direct&utm_term={keyword}&matchtype={matchtype}&campaignid={campaignid}&adgroupid={adgroupid}&creative={creative}&lp_version=us-main-control,us,hire,Hire Reliable Admin Support,Virtual Admin for Your Team,Outsourced Admin Assistant,Philippines Admin Staff,Remote Admin for Employers,Build Your Admin Seat,Hire Admin Help Fast,Staff Your Back Office,Interview Admin Finalists,Tell Us the Admin Role,Dedicated Admin Support,Fill Admin Gaps Today,,,,Hire a virtual administrative assistant for your company. You choose who joins.,"Offshore admin support for inbox, documents, and follow-up on your hours.",Outsourced administrative help without a local hiring loop.,We recruit and screen. You interview. Dedicated seat for your business.,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,RSA angle=direct; no DKI; lp=us-main-control
496-715-1855,Ad,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us?utm_source=google&utm_medium=cpc&utm_campaign=vc_us_roles&utm_content=admin_assistant_relief&utm_term={keyword}&matchtype={matchtype}&campaignid={campaignid}&adgroupid={adgroupid}&creative={creative}&lp_version=us-main-control,us,relief,Get Admin Off Your Plate,Stop Drowning in Busywork,Clear the Task Backlog,Keep Ops Moving Daily,Hand Off Routine Admin,Less Chaos in the Inbox,Documents Without Delay,Follow-Ups That Happen,Free Your Team to Sell,End the Admin Scramble,Make Workdays Lighter,Relief for Ops Managers,,,,"When admin piles up, growth stalls. Get a dedicated seat for your company.","Inbox, docs, and follow-ups handled by someone working your hours.",Stop pulling skilled people into busywork. Put admin on a real seat.,Tell us what is piling up. We recruit. You interview the shortlist.,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,RSA angle=relief; no DKI; lp=us-main-control
496-715-1855,Ad,VC_US_S_ROLES,,,,,,,,,,,,Admin_Assistant,,,,,,Enabled,Responsive search ad,https://www.virtualcoworker.app/us?utm_source=google&utm_medium=cpc&utm_campaign=vc_us_roles&utm_content=admin_assistant_trust&utm_term={keyword}&matchtype={matchtype}&campaignid={campaignid}&adgroupid={adgroupid}&creative={creative}&lp_version=us-main-control,us,trust,From $7/Hour Staffing,Vetted Philippines Talent,Talent Working Your Hours,We Recruit and Screen,Support for Growing Teams,Lower the Cost of Hiring,Build Team Without Overhead,No Recruitment Fees,You Interview the Shortlist,Staffing Partner Since 2011,Payroll and HR Included,Hire With Clear Process,,,,From $7/hour dedicated Philippines staff for admin roles your company needs.,We recruit and vet. You interview. Talent works your business hours.,Payroll and HR stay with us after you hire so your team can focus.,Made for growing US companies that need dependable admin coverage.,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,RSA angle=trust; no DKI; lp=us-main-control
496-715-1855,Ad group,VC_US_S_ROLES,,,,,,,,,,,,Customer_Support,Enabled,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,New exact/phrase exploration AG → /us main control
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Customer_Support,,,outsourced customer support,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Customer_Support,,,outsourced customer support,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Customer_Support,,,customer support outsourcing,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Customer_Support,,,customer support outsourcing,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Customer_Support,,,customer service outsourcing philippines,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Customer_Support,,,customer service outsourcing philippines,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Customer_Support,,,hire customer service virtual assistant,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Customer_Support,,,hire customer service virtual assistant,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Customer_Support,,,offshore customer support,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Customer_Support,,,offshore customer support,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Customer_Support,,,remote customer service team,Exact,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Customer_Support,,,remote customer service team,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Customer_Support,,,customer service job,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
496-715-1855,Keyword,VC_US_S_ROLES,,,,,,,,,,,,Customer_Support,,,customer support salary,Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,Yes,VC_US_EXACT_PHRASE_EXPANSION_2026-08-21,High-confidence AG negative only
