metric,market,window,n,unit,label,note
ads_zoho_jo_zapier_conversions,AU,2024-08-01_to_2026-08-12,36,conversions,VERIFIED,not a census of job orders
ads_zoho_jo_zapier_all_conversions,AU,2024-08-01_to_2026-08-12,69,all_conversions,VERIFIED,
ads_zoho_jo_oci_conversions,AU,2024-08-01_to_2026-08-12,14,conversions,VERIFIED,twin; overlap UNKNOWN
ads_zoho_jo_oci_all_conversions,AU,2024-08-01_to_2026-08-12,51,all_conversions,VERIFIED,
zapier_still_active,ALL,as_of_2026-08-13,,flag,UNKNOWN,no Zapier access; do not upload to test
ads_can_list_uploaded_gclids,ALL,this_pass,,flag,UNKNOWN,not queried; do not upload to test
gtm_us_published_version,US,live_container,6,version,VERIFIED,GTM-M92DX9BJ
gtm_au_published_version,AU,live_container,6,version,VERIFIED,GTM-5T6KPVSF; spec AU v5 is stale
gtm_calendly_event_scheduled_listener,US+AU,live_container,1,per_container,VERIFIED,existence not firing
gtm_employer_inquiry_submitted_ads_tag,US+AU,live_container,1,per_container,VERIFIED,existence not firing
gtm_form_submit_success_trigger,US+AU,live_container,0,triggers,VERIFIED,alias not used as trigger
site_calendly_booked_listener,APP,vision_code,0,listeners,VERIFIED,open/click only
zoho_crm_write_from_app,APP,as_of_2026-08-13,0,enabled,VERIFIED,ZOHO_CRM_ENABLED off
api_ads_queries_this_pass,ALL,2026-08-13,12,queries,VERIFIED,ceiling 12; see API-CALL-LOG
api_zoho_requests_this_pass,ALL,2026-08-13,12,requests,VERIFIED,8 in join script + 4 related-name probes; ceiling 20
